market,maturity,yield,yield_1w_ago,,,,,,
UK Gilt,2Y,4.84,4.55,,,,,,
UK Gilt,10Y,5.35,5.15,,,,,,
UK Gilt,30Y,5.93,5.79,,,,,,
Bund,2Y,3.18,2.95,,,,,,
Bund,10Y,3.5,3.35,,,,,,
Bund,30Y,3.9,3.82,,,,,,
OAT,2Y,3.4,3.15,,,,,,
OAT,10Y,4.45,4.21,,,,,,
OAT,30Y,5.13,4.97,,,,,,
BTP,2Y,3.4,3.15,,,,,,
BTP,10Y,4.35,4.16,,,,,,
BTP,30Y,5.03,4.93,,,,,,
JGB,2Y,1.84,1.84,,,,,,
JGB,10Y,2.99,2.91,,,,,,
JGB,30Y,4.06,3.99,,,,,,
Canada,2Y,3.36,3.1,,,,,,
Canada,10Y,3.94,3.78,,,,,,
Canada,30Y,4.28,4.16,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
